Q1	Q0 	193378	0	20.026333	 Lucene
Q1	Q0 	193373	0	18.758528	 Lucene
Q1	Q0 	205685	0	17.601551	 Lucene
Q1	Q0 	211970	0	16.273813	 Lucene
Q1	Q0 	193353	0	14.476752	 Lucene
Q1	Q0 	193715	0	14.131592	 Lucene
Q1	Q0 	210137	0	13.924856	 Lucene
Q1	Q0 	193386	0	13.807238	 Lucene
Q1	Q0 	206228	0	12.72007	 Lucene
Q1	Q0 	204414	0	11.725033	 Lucene
Q1	Q0 	213278	0	10.898766	 Lucene
Q1	Q0 	197085	0	10.874224	 Lucene
Q1	Q0 	206230	0	10.346272	 Lucene
Q1	Q0 	205643	0	10.31435	 Lucene
Q1	Q0 	207985	0	10.299605	 Lucene
Q1	Q0 	211972	0	10.299605	 Lucene
Q1	Q0 	213250	0	10.162306	 Lucene
Q1	Q0 	206825	0	9.968741	 Lucene
Q1	Q0 	204356	0	9.79502	 Lucene
Q1	Q0 	205369	0	9.725487	 Lucene
Q2	Q0 	206575	0	13.634209	 Lucene
Q2	Q0 	206181	0	13.043753	 Lucene
Q2	Q0 	206360	0	12.726551	 Lucene
Q2	Q0 	211706	0	12.513573	 Lucene
Q2	Q0 	197167	0	12.188892	 Lucene
Q2	Q0 	193380	0	12.059068	 Lucene
Q2	Q0 	213164	0	11.937464	 Lucene
Q2	Q0 	205539	0	11.793188	 Lucene
Q2	Q0 	193402	0	11.7373905	 Lucene
Q2	Q0 	197548	0	11.656888	 Lucene
Q2	Q0 	201659	0	10.993708	 Lucene
Q2	Q0 	210344	0	10.942331	 Lucene
Q2	Q0 	206067	0	10.558285	 Lucene
Q2	Q0 	206363	0	10.4064455	 Lucene
Q2	Q0 	199181	0	10.389547	 Lucene
Q2	Q0 	199835	0	10.095329	 Lucene
Q2	Q0 	213926	0	10.089798	 Lucene
Q2	Q0 	194684	0	10.086993	 Lucene
Q2	Q0 	213701	0	10.017499	 Lucene
Q2	Q0 	214784	0	9.990237	 Lucene
Q3	Q0 	204146	0	13.06646	 Lucene
Q3	Q0 	207061	0	11.530613	 Lucene
Q3	Q0 	211673	0	11.00304	 Lucene
Q3	Q0 	193411	0	10.8453865	 Lucene
Q3	Q0 	205070	0	10.513944	 Lucene
Q3	Q0 	204772	0	10.4517145	 Lucene
Q3	Q0 	206575	0	10.152353	 Lucene
Q3	Q0 	206247	0	10.051858	 Lucene
Q3	Q0 	196653	0	9.426139	 Lucene
Q3	Q0 	196549	0	9.262778	 Lucene
Q3	Q0 	213660	0	9.25158	 Lucene
Q3	Q0 	199855	0	9.139696	 Lucene
Q3	Q0 	196422	0	9.074385	 Lucene
Q3	Q0 	199425	0	9.073175	 Lucene
Q3	Q0 	204352	0	8.950569	 Lucene
Q3	Q0 	212413	0	8.834392	 Lucene
Q3	Q0 	209715	0	8.802473	 Lucene
Q3	Q0 	209714	0	8.6950445	 Lucene
Q3	Q0 	205695	0	8.628391	 Lucene
Q3	Q0 	199370	0	8.573063	 Lucene
Q4	Q0 	213159	0	17.822926	 Lucene
Q4	Q0 	200253	0	17.647888	 Lucene
Q4	Q0 	199839	0	17.013866	 Lucene
Q4	Q0 	214253	0	15.645624	 Lucene
Q4	Q0 	206178	0	15.618962	 Lucene
Q4	Q0 	200728	0	15.025583	 Lucene
Q4	Q0 	210935	0	14.575998	 Lucene
Q4	Q0 	205539	0	14.336807	 Lucene
Q4	Q0 	194163	0	14.137902	 Lucene
Q4	Q0 	193793	0	14.124048	 Lucene
Q4	Q0 	199862	0	13.981163	 Lucene
Q4	Q0 	213551	0	13.914201	 Lucene
Q4	Q0 	195800	0	13.601617	 Lucene
Q4	Q0 	194261	0	13.558619	 Lucene
Q4	Q0 	212426	0	13.516329	 Lucene
Q4	Q0 	213081	0	13.337705	 Lucene
Q4	Q0 	213170	0	13.175132	 Lucene
Q4	Q0 	199791	0	13.085149	 Lucene
Q4	Q0 	206343	0	12.982613	 Lucene
Q4	Q0 	198412	0	12.875369	 Lucene
Q5	Q0 	205576	0	14.546271	 Lucene
Q5	Q0 	203402	0	14.217983	 Lucene
